Author	Contribution Entry	Column	Year	Issue
Alexis, Jacques-Stephen 17 Romancera hvězddm. (Tři povídky ze stejnojmenné sbírky haitského spisovatele.) Z francouzštiny přeložil Josef Pospišil. Závěrečnou poznámku napsala EP (= Eva Pilařová). Ilustrace Jitky Kolinské. 8/4, str. 151-173.	Oforovaný podporučík - O králi snů - Bez času.			
Altenberg, Peter	18 S/ohovd úloha - O psaní - Od sedmndcti do třiceti - Květinové korso - V parku - Gramofonová deska. (Prózy.) Z němčiny přeložil Jan Hanč. Úvodní stať o autorovi napsal Pavel Eisner. Kresby Vladimíra Fuky. 2/1, str. 186-192. - Fotografie autora.	German	1957	1
Amel, Mohammed	Dni - Vlastencliv zpěv. (Básně.) Viz zázn. 259.			
Amlinskij, Vladimir	19 Rozdělený byt. (Povídka.) Z ruštiny přeložil Jiřl Zapletal. 6/5, str. 26-31. 1 obr.	Russian	1961	5
Anday, Melih Cevdet	20 Verše. Z turečtiny přeložil a závěrečnou poznámku napsal Luděk Hřebíček. 8/4, str. 146-150. Budouci - Vztyčený - Odkud vyšla -V jedněch poutech-Spolu - Duch pfičinlivosti aneb S pílí dojdeš k cíli - Hirošima - Smrt - O čističi bot, t1ešňovém stromě a cikánce - Vzpomínka.	Turkish	1963	4
Anderson, Sherwood	21 Píšu příliš často o divných lidech - Divný člověk - Dobrodružství - Ruce - Chicago - Já jsem zkrátka idiot - Dreiser. (Povídky.) Z angličtiny přeložili Eva a Lubomír Kondrysovi. 2/4, str. 35-59.	English	1957	4
Andrade, Jorge Carrera	Cesta. (Báseň.) Viz zázn. 1065. Andrésson, Kristinn E. 22 O islandské literatuře. (Studie.) Přeloženo z islandštiny. Ilustrováno ukázkami z díla islandského sochaře Ásmundura Sveinssona. 7/3, str. 104-114. - Fotografie autora.	Icelandic	1962	3
Andrié, Ivo	"23 Mila a Prelac - Bufet „Titanic"". (Povídky.) Ze srbocharvátštiny přeložil Vladimír Togner. Ilustroval Bohdan Kopecký. Úvodní medailónek napsal Viktor Kudělka. 7/6, str. 167-191. - Fotografie autora."	Serbocroatian	1962	6
Andrzejewski, Jerzy	17 On( se béře, skdče po těch horách. Recenze s ukázkami. Viz zázn. 750. Anketa			
Andrzejewski, Jerzy	24 Anketa? (Výzva redakce ke čtenářům.) 5/1, str. 231.		1960	1
Andrzejewski, Jerzy	25 Anketa časopisu lnostrannaja /itěratura. Uspořádaná pod názvem Hovoří čtenáři o zahraniční próze a poesii publikované v posledních třech letech. Z ruštiny přeložili TZ (= Jaroslav Tofel a Vlasta Zavázalová). 4/3, str. 230-238.	Russian	1959	3
Andrzejewski, Jerzy	26 Anketa 20. (Zahraniční bohemisté a překladatelé o československé literatuře od r.1945.) Přispěli: Jara Ribnikarová, David Samojlov, Hans Magnus, Enzensberger, Edith Pargeterová, Angelo Maria Ripellino, Kei Kurisu. 10/3, str. 247-256. - Pozn. Fotografie všech autorů příspěvků.		1965	3
Andrzejewski, Jerzy	27 Anketa o Světové literatuře. Přispěli: Alois Antončík, Otakar Bartoš, Milan Blahynka, Jaroslav Boček, František Buriánek, Jan Cigánek, Lumír Čivrný, Miroslav Drápal, Miroslav Drozda, Vlastimil Fiala, J. F. Franěk, Jarmila Fromková, Norbert Frýd, Jiří Hájek, Adolf Hoffmeister, František Hrubín, Josef Klabal, Vítězslav Kocourek, Miloš Kopecký, Ján Kostra, Otomar Krejča, Ludvík Kundera, Alexej Kusák, Václav Lacina, Jiří Lederer, Kamil Lhoták, Dana Medřická, Július Pašteka, Jiřina Petrovická, Karel Pokorný, Jaroslav Průcha, Jaroslav Průšek, Karel Ptáčník, Vlastimil Rada, Jan Rychlík, Vlastimil ~ebec, Hugo Siebenschein, Jan Skácel, Z. K. Slabý, Pavel Sobíšek, Valja Stýblová, Jiří Šotola, Zdeněk Štěpánek, Jana Štroblová, A. J. Šťastný, Helena Teigová, Jan Trefulka, Ivan Úradníček, Arnošt Vaněček, Marie Vášová, Jan Vladislav, Josef Vohryzek, Jiří Weil. 3/6, příloha 16 s. - Úvodní a závěrečná poznámka redakce.		1958	6
Antonioni, Michelangelo	ťavventura (Dobrodružství). Recenze s ukázkami. Viz zázn. 897.			
Antonioni, Michelangelo	"28 Červená pustina. (Filmový scénář.) Z italštiny přeložil Jaroslav Pokorný. Jako úvodu použito úryvků z Antonioniho Předmluvy ke knižnímu vydání jeho scénářů a z interviewu s Jeanem-Lucem Godardem pro časopis Cahiers du Cinéma. Doslov „Estetik Antonioni"" napsala Ludmila Vachtová. 10/5, str. 81-112. 18 obr. - Fotografie autora od Jana Paříka. La notte (Noc). Recenze s ukázkami. Viz zázn. 897"	Italian	1965	5
Apollinaire, Guillaume	29 12 z Alkoholů. (Básně.) Z francouzštiny přeložil Jaroslav Martinic. 5/4, str. 80-86. - 2 karikatury autora 18 od Henriho Matisse a Maurice Vlamincka. Úvodní poznámka. Most Mirabeau - Zvony - Máj - Ocúny - Nemocný podzim - Znamení - Svit měsíce - Ženy - Bílý sníh - Podzim - Cikánka - Hotely.	French	1960	4
Apollinaire, Guillaume	30 Jednou ti, kdo budou studovat literární historii naší doby, .. . Ze závěti Guillauma Apoll inaira (1918). Přeloženo z francouzštiny. 2/3, str. 11.	French	1957	3
Apollinaire, Guillaume	31 Severoafričtí spisovatelé budou překvapením tohoto století. (Citát.) Přeloženo z francouzštiny. 4/3, str. 59.	French	1959	3
Aragon, Louis	"32 Básníci. Básně z cyklu „Představení na zpusob laterny magiky"" z francouzštiny přeložil a poznámku k překladu Panychidy napsal Petr Kopta. 7/2, str. 68-72. Č:trnáctý okres - Panychida za Vítězslava Nezvala - Zpíváno."	French	1962	2
Aragon, Louis	33 Elsa. (Básně ze stejnojmenné sbírky.) Z francouzštiny přeložil Petr Kopta. 4/6, str. 128-131. Jsem velekn ě zem všech círk vf . . . - Muž kráčí pod oknem a zp lvá si - Novoroční růže - Bude to za jednoho z oněch rán ...	French	1959	6
Aragon, Louis	34 Nazývejme věci pravým jménem. (Projev na shromáždění svolaném Hnutim francouzské komunistické mládeže.) Z francouzštiny přeložil A. J. Liehm. 4/6, str. 136-152.	French	1959	6
Aragon, Louis	35 Oči a paměť. (Básně.) Ze stejnojmenného cyklu z francouzštiny přeložil Petr Kopta. 1 /5, str. 64-71. Nebude posledního soudu - Ž e stoji za to žít ... - Hájím ulice q lesy dneška.	French		
Aragon, Louis	36 Skutečná románová postava si nemůže dovolit schematické myšlení, jaké bychom jaktěživi nevyčítali člověku z masa a kostí. (Citát.) Přeloženo z francouzštiny. 4/6, str. 131.	French	1959	6
Aragon, Louis	37 Ubozí lidé, kteří nechápou, že básnlkem je právě ten, . .. (Citát.) Přeloženo z francouzštiny. 4/1, str. 38.	French	1959	1
Aragon, Louis	"38 Věčné jaro. (Esej o knize Philippa Sollerse „Une curieuse solitude - Podivná samota"" a o současné francouzské literatuře . ) Z francouzštiny přeložila Jarmila Fialová. 4/3, str. 102-115. Vždyť o člověka běží přec ... (Studie věnovaná francouzskému básníku Saint-John Persovi.) Viz zázn. 953."	French	1959	3
Arbasino, Alberto	39 Přlpad z osmačtyřicátého. (Povídka.) Z italštiny přeloži l Josef Hajný. Ilustrovala Olga Karlíková. 10/6, str. 1-9. - Vychází pod společným názvem 17 mladých prozaiku, 16 mladých básníku, 33 mladých autoru a se slovníčkem spisovatel u. 19	Italian	1965	6
Ardov, Viktor Jefimovič	40 Stařf známí. (Povídky.) Z ruštiny přeložil Vojtěch Jestřáb. Ilustroval Vratislav Hlavatý. 3/4, str. 247-256. Krotitel - Harakiri - Láska k věd ě.	Russian	1958	4
Arendt, Erich	41 Nad ostrovem noc. (Básně.) Z němčiny přeložil a úvodní poznámku napsal Ludvik Kundera. 5/6, str. 178-183. - 2 fotografie autora. Elegie IV - Míjivý den - Nad ostrovem noc - Žně - Listopad. Arghezi, Tudor	German	1960	6
Arendt, Erich	42 Skizzy tužkou. Básně přeložil z rumunštiny Oldřich Vyhlídal za jazykové spolupráce Zdenky Vyhlídalové, povídky přeložil Jan Makarius. 3/5, str. 139-149. - Úvodní poznámka s fotografii autora. Předmluva k jednomu výboru z poezie - Závěť. Rada, JonUv Jon, Ženich, Nápěv, Skizza tužkou, Tinca. (Básně .) - Přírulka praktické morálky, Flašinetář, Spletitý případ . (Povídky.) Armstrong, Louis Satchmo, My Life in New Orleans. Recenze s ukázkami. Viz zázn. 236.	Romanian	1958	5
Árnason, Jónas	43 Skrfn. (Povídka.) Z islandštiny přeložila Helena Kadečková. 7/3, str. 117-126. 1 obr.	Icelandic	1962	3
Arnaud, Georges	44 telvf ostrov piráta Morgana - Hodina s Andreasem Aalborgem. (Povídky ze sbírky La plus grande Pente.) Z francouzštiny přeložil Luděk Kárl. Ilustroval Oldřich Jelínek. Úvodní medailónek napsala Jarmila Beránková. 7/6, str. 59-71. - Fotografie autora.	French	1962	6
Arnér, Sivar	45 Uli a spravedlnost. (Povídka.) Ze švédštiny přeložil Oldřich Liška. 4/3, str.165-168. - Následuje poznámka Jana Raka K současné švédské povídce. Arp, Hans Čtyřlfstková hvězda - Mít zelené tělo - Amerika - Plochý olověný mrak. (Básně.) Viz zázn. 1193.	Swedish	1959	3
Arnér, Sivar	46 Na jedné noze. (Básně.) Z němčiny přeložil a stať o autorovi napsal Ludvík Kundera. Reprodukce plastik Hanse Arpa. 10/4, str. 128-137. - Fotografie autora. Tencí dlouháni - Jak příšerné mouchy - Na jednonohých květinových stolcích - Na jedné noze - Baobab - Obráceně na své židli - Zralí k vystoupení - Kataplazma kataplazma - Domů - Dolů dolů - My prosebníci však.	German	1965	4
Arpino, Giovanni 47 Mračno hněvu. (Román.) Z italštiny přeložila a poznámku 20 o autorovi napsala Alena Hartmanová. Ilustroval Karel Vaca. 9/1, str. 1-28; 9/2, str. 93-119. - Fotografie autora.				
Arrufat, Antón	48 Stařec. (Povídka.) Ze španělštiny přeložil Antonin Přidal. 10/6, str. 9-13. - Vychází pod společným názvem 17 mladých prozaiků, 16 mladých básníků, 33 mladých autorů a se slovníčkem spisovatelů.	Spanish	1965	6
Artaud, Antonin	Černý bdsnlk - Noc v činnosti. (Básně.) Viz zázn. 1103. Ashbery, John			
Artaud, Antonin	49 Obrdzek malého J. A. v zdhonu květin. Báseň ze sbírky Some Trees. Z angličtiny přeložil Stanislav Mareš. 10/6, str. 13-14. - Vychází pod společným názvem 17 mladých prozaiků, 16 mladých básníků, 33 mladých autorů a se slovníčkem spisovatelů. Odř{kdní. (Báseň.) Viz zázn. 768.	English	1965	6
Asklund, Erik	50 Nevěsta na Slussenu. (Povídka.) Ze švédštiny přeložila Magda Trhlíková. 4/3, str. 173-176. - Reprodukce kresby Rolfa Sandquista. Následuje poznámka Jana Raka K současné švédské povídce. Asturias, Miguel Angel	Swedish	1959	3
Asklund, Erik	51 Víkend v Guatemale - Všichni to byli Američané! (Povídky.) Ze španělštiny přeložil a úvodní poznámku napsal Zdeněk Hampejs. Ilustroval Vladimír Boudník. 5/4, str. 414-79.	Spanish	1960	4
Aškenazy, Ludvík	52 Opožděně do ankety Světové literatury. 4/2, str. 245. Auden, Wystan Hugh		1959	2
Aškenazy, Ludvík	53 Nějaký možný sen. (Ukázky z básnického díla.) Z angličtiny přeložil a úvodní slovo o autorovi napsal Stanislav Mareš. 7/1, str. 150-157. Aurell, Tage	English	1962	1
Aškenazy, Ludvík	54 Tři povídky. Ze švédštiny přeložil Josef Vohryzek. Ilustroval Mikuláš Medek. 7/2, str. 110-131. - Úvodní medailón o autorovi s jeho fotografií. V sobotu odpoledne - Zó.stupce pa.stora - Stará silnice. Avedon, Richard Fotoportréty. Viz zázn. 929. 21 Aymonin, Marcel	Swedish	1962	2
Aškenazy, Ludvík	"5,5 Hold pravda ol. - P. Sartrovi. (Úvaha o Sartrově hře „H pravda"".) Z francouzštiny přeložila Naděžda Kalino 1/1, str. 190-194."	French	1956	
Babel', Isaak Emmanuilovič	S6 lzdk Babel Konstantinu Paustovskému: Když poprvé nějakou povldku ... (Úryvek.) Přeloženo z ruštiny. str. 23S.	Russian		
Babel', Isaak Emmanuilovič	S7 lzdk Babel Konstantinu Paustovskému : Nemdm fanta Říkdm to naprosto vdžně. Neumím si vymýšlet .. . (Úryve Přeloženo z ruštiny. 6/2, str. 146.	Russian	1961	2
Babel', Isaak Emmanuilovič	S8 Jzdk Babel Konstantinu Paustovskému : Pracuji jako soum Ale nestěžuji si . . . (Úryvek.) Přeloženo z ruštiny. 6/ str. 256.	Russian		
Babel', Isaak Emmanuilovič	"S9 Z „Oděských povídek"" lzdka Babela. Z ruštiny přelo a úvodní poznámku napsal Jan Zábrana. Použi Šterenbergových kreseb ze sovětského vydání r. 193 2/1, str. 97-131 . - S fotografií autora. Historie mého holubníku - První láska - Probuzení - Ve skle ním bytě - Karel-Janke( - Zánik chudobince - Konec sv. lp tije - U našeho baťky Machna - Přepočítal ses, kapitáne! Baganec, Ladislav"	Russian	1957	
Babel', Isaak Emmanuilovič	60 Vdš zápas sleduji s největšlm napětím ... (Článek o vztah Bjornstjerna Bjornsona k Slovákům.) S/2, str. 238-239			
Bagrickij, Eduard Georgijevič	61 Zhoupl se svět... (Básně.) Z ruštiny přeložil Vojtěc Jestřáb, poslední dvě básně Ludvík Kundera. Poznámk napsal Vojtěch Jestřáb. 4/2, str. 132-138. - Fotografi autora. Fronta - Meloun - Pašeráci - Noc - Romance kaprovi Óda - Stance - Epos - Jaro, veterináf a já - Původ. Bagrjana, Elisaveta	Russian	1959	2
Bagrickij, Eduard Georgijevič	62 Ať už mé srdce není módní četbou. (Básně.) Cyklus Roční doby přeložila z bulharštiny Ilona Borská, ostatní verše Jan Zábrana, oba za jazykové spolupráce Hany Reinerové. Úvodní poznámku napsal Zdeněk Urban. 4/4, str. 90-94. - Fotografie autorky. Roční doby - Největší cirkus - Dnes.	Bulgarian	1959	4
Bagrickij, Eduard Georgijevič	63 Sněno z mansardy a ddlek. (Básně.) Z bulharštiny přeložil a závěrečnou stať o autorce napsal Lumír Čivrný. 8/3, str. 182-192. - Fotografie autorky. 22 SOS - Sněno z mansardy - Pták s motorovým srdcem - Penelopa dvacátého století - Padák (Skok - Navrat mě).	Bulgarian	1963	3
Aymonin, Marcel	"5,5 Hold pravda ol. - P. Sartrovi. (Úvaha o Sartrově hře „Holá pravda"".) Z francouzštiny přeložila Naděžda Kalinová. 1/1, str. 190-194."	French	1956	1
Babel', Isaak Emmanuilovič	56 Izák Babel Konstantinu Paustovskému: Když poprvé píši nějakou povídku ... (Úryvek.) Přeloženo z ruštiny. 6/2, str. 235.	Russian	1961	2
Babel', Isaak Emmanuilovič	57 lzdk Babel Konstantinu Paustovskému: Nemdm fantazii. Říkám to naprosto vdžně. Neumím si vymýšlet. .. (Úryvek.) Přeloženo z ruštiny. 6/2, str. 146.	Russian	1961	2
Babel', Isaak Emmanuilovič	58 lzdk Babel Konstantinu Paustovskému: Pracuji jako soumar. Ale nestěžuji si ... (Úryvek.) Přeloženo z ruštiny. 6/2, str. 256.	Russian	1961	2
Babel', Isaak Emmanuilovič	"59 Z „Oděských povídek"" lzdka Babela. Z ruštiny přeložil a úvodní poznámku napsal Jan Zábrana. Použito Šterenbergových kreseb ze sovětského vydání r. 1932. 2/1, str. 97-131. -S fotografií autora. Historie mého holubníku - První láska - Probuzení - Ve sklepním bytě - Karel-Janke! - Zánik chudobince - Konec sv. lpatije - U našeho baťky Machna - Přepočítal ses, kapitáne! Baganec, Ladislav"	Russian	1957	
Babel', Isaak Emmanuilovič	60 Váš zápas sleduji s největším napětím ... (Článek o vztahu Bjornstjerna Bjornsona k Slovákům.) 5/2, str. 238-239. Bagrickij, Eduard Georgijevič		1960	2
Babel', Isaak Emmanuilovič	61 Zhoupl se svět ... (Básně.) Z ruštiny přeložil Vojtěch Jestřáb, poslední dvě básně Ludvík Kundera. Poznámku napsal Vojtěch Jestřáb. 4/2, str. 132-138. - Fotografie autora. Fronta - Meloun - Pašeráci - Noc - Romance kaprovi Óda - Stance - Epos - Jaro, veterinář a já. - Původ. Bagrjana, Elisaveta	Russian	1959	2
Babel', Isaak Emmanuilovič	62 Ať už mé srdce není módní četbou. (Básně.) Cyklus Roční doby přeložila z bulharštiny Ilona Borská, ostatní verše Jan Zábrana, oba za jazykové spolupráce Hany Reinerové. Úvodní poznámku napsal Zdeněk Urban. 4/4, str. 90-94. - Fotografie autorky. Roční doby - Největší cirkus - Dnes.	Bulgarian	1959	4
Babel', Isaak Emmanuilovič	63 Sněno z mansardy a dálek. (Básně.) Z bulharštiny přeložil a závěrečnou stať o autorce napsal Lumír Čivrný. 8/3, str. 182-192. - Fotografie autorky. 22 SOS - Sněno z mansardy - Pták s motorovým srdcem - Penelopa dvacátého století - Padák (Skok - Navrať mě).	Bulgarian	1963	3
Bachmann, Ingeborg	Vylož mi, lásko - Plavba. (Básně.) Viz zázn. 1193.			
Bachtin, Michail	Problemy poetiky Dostojevskogo. Recenze s ukázkami. Viz zázn. 482.			
al-Bajátí, Abd al-Waháb	64 Zpěvy dobré zelené země. (Básně.) Z arabštiny přeložil Jiří V. Svoboda za jazykové spolupráce Rudolfa Veselého. Závěrečnou stať napsal Husein al-Amil. Ilustroval Alois Fišárek. 4/4, str. 1-9. Mým bratřím básníkům - Píseň mému národu - Píseň mému chlapci Alímu - Provazy šibenice - Zpáteční lístek - Láska chudých - Zelená píseň do Sýrie - Sláva dětem a olivám - Dobrá. země.	Arabic	1959	4
Baklanov, Grigorij Jakovlevič	65 Neb mrtvi jsouce hanby nedojdeme. (Novela.) Z ruštiny přeložil a závěrečnou stať o autorovi napsal Jan Zábrana. 7/5, str. 1-33. - Fotografie autora.	Russian	1962	5
Baldwin, James	"66 Dopis z jedné oblasti v mém mozku. (Esej.) Z angličtiny přeložil a úvodní stať „Mučený talent Jamese Baldwina"" napsal Jaroslav Schejbal. Použito fotografií Dona Charlese, Kena Heymana, Jima Mitchella a Burta Shavitze. 10/3, str. 82-110. 7 obr. - Fotografie autora."	English	1965	3
Ballagas, Emilio	Elegie na Marii Belén Chacónovou. (Báseň.) Viz zázn. 1065.			
Balzac, Honoré de 67 Inspirace, to( vhodný okamžik ... (Citát.) Přeloženo z francouzštiny. 1/4, str. 175.				
Balzac, Honoré de 67 Inspirace, to( vhodný okamžik ... (Citát.) Přeloženo z francouzštiny. 1/4, str. 175.	66 Překonávám velké těžkosti . .. (Citát.) Přeloženo z francouzštiny. 3/1, str. 180.	French	1958	1
Banaphul	69 Prózy. Vybral a z bengálštiny přeložil Dušan Zbavitel. 8/5, str. 101-110. - Poznámka o autorovi s jeho fotografií. Clověk-V letním poledni -Vzpomínky - Tádlmahal - Dopis - Chuďas .	Bengali	1963	5
Báradi, Subrahmanja	70 Jsem na stopě tanci. (Verše a krátké prózy.) Vybral, z tamilštiny přeložil a úvodní poznámku o autorovi napsal Kamil Zvelebil. 7/6, str. 113-121. 2 obr. - Fotografie autora a ukázka rukopisu. 23 Jiskra-Mrtvá minulost- O kastách - O budoucnosti - Práce - O ienách - O poslušnosti a pokofe - Píseň Maravárú - Modlitba - Večer u moře - Tanec poslední zkázy.		1962	6
Baragaňo, José Alvarez	Revoluce barva svobody. (Báseň.) Viz zázn. 850.			
"Barbusse, Heni""'i"	71 Přf/iš vzácní jsou ti, kteří plně pochopili ... (Citát.) Přeloženo z francouzštiny. 3/3, str. 130.	French	1958	3
Bartoš, Otakar	72 Bruno Schulz. Básník znovunalezeného dětství. 8/5, str. 111-114. - 2 kresby Bruno Schulze.		1963	5
Bartoš, Otakar	"73 Osud člověka předmětem filosofie. (O knize polského filosofa Adama Schaffa „Filosofie člověka"".) 9/2, str. 152-153. - Následuje přehled částí knihy."		1964	2
Bartoš, Otakar	74 Reportáž jde za člověkem. (O dvou mladých představitelích polské reportáže Jerzy Lovellovi a Ryszardu Kapusciríském, z jejichž tvorby jsou ukázky v tomto čísle.) 8/2, str. 150-151. 1 fot.		1963	2
Bartoš, Otakar	"75 Slawomfr Mrožek „Ůtěk na jih"" (Uczieczka na poludnie). Recenze románu s ukázkami. Doprovozeno původními ilustracemi. 7/2, str. 212-222. - S fotografií S. Mrozka. Bósníci"		1962	2
Bartoš, Otakar	"76 Básníci Masses & Mainstream. (Výbor básní z amerického časopisu.) Z angličtiny přeložil Jan Zábrana. 1/2, str. 37-53. - Úvodní poznámky s fotografií pěti obálek časopisu. Kresba Hugo Gellerta. Walter Lowenfels: Pět bá.snf z vězení (Nejsme sami, Vrata, Leonardo, Hlavně pro vás, Po návratu z vězení) - Dalton Trumbo: Synkopy pro „vlastence"" - Portrét umělce ve střednich letech - Alvah Bessie: Mému mrtvému bratrovi - Martha Millet: Léto ve Williamsburghu - Eva Grayson: Zpěv podzemní dráhy - V. J. Jerome: Kalibánova ře;:."	English	1956	2
Bartoš, Otakar	77 Básnfci Picassovi. Paul Eluard: Práce malíře - E. E. Cummings: Portrét Picassa - Pablo Neruda: Příjezd do přístavu Picasso - Jacques Prévert: Picasso na procházce. Přeložil Adolf Kroupa, báseň E. E. Cummingse Portrét Picassa přeložil Antonín Přidal. Vyzdobeno kresbami Pabla Picassa. 6/5, str. 50-58. Bassani, Giorgio		1961	5
Bartoš, Otakar	78 Za dveřmi. (Novela.) Z italštiny přeložil a životopisnou poznámku o autorovi napsal Zdeněk Frýbort. Ilustroval Pavel Sukdolák. 10/2, str. 8-59. - Fotografie autora.	Italian	1965	2
Basu, Buddhadeb	79 Noci! (Próza.) Z bengálštiny přeložil Dušan Zbavitel. Kresba: Karel Černý. 3/6, str. 111-112.	Bengali	1958	6
Basu, Buddhadeb	80 Tvé černé vlasy se vlní. (Básně.) Z bengálštiny přeložil 24 a úvodní poznámku napsal Dušan Zbavitel. 3/6, str. 190-193. Kterési dfvce - Ruka - Letošni zimy - Kdy! vlasy rozvciieš. Bates, H. E.	Bengali	1958	6
Basu, Buddhadeb	81 Měsfc ve žnlch - Půda - Zastávka. (Povídky.) Z angličtiny přeložil a charakteristiku autora napsal František Frohlich. Ilustroval Jan c'.:erný. 8/2, str. 102-115. - Fotografie autora.	English	1963	2
Baudelaire, Charles	82 Bylo by to řeči ... (Citát.) Přeloženo z francouzštiny. 1 /3, str. 109.	French		
Baudelaire, Charles	83 Čim vice člověk chce, tím lépe chce ... (Citáty.) Přeloženo z francouzštiny. 1 /3, str. 116.	French		
Baudelaire, Charles	"84 Počestná dramata a počestné romány. Stať z knihy „Romantické umění"". Z francouzštiny přeložil Jan Vladislav. 2/6, str. 149-154. - Nadarova fotografie Charlesa Baudelaira. Ranní svítání - Víno milenců - Prokleté ženy - Lethe. (Básně.) Viz zázn. 116."	French	1957	6
Bažan, Mykola	85 Trilogie vášně. (Báseň.) Z ukrajinštiny přeložil Václav Daněk. 8/2, str. 43-50. - Fotografie autora. Poznámku o autorovi na str. 64 napsal Orest Zilynskyj.	Ukrainian	1963	2
Beaumont, Charles	86 Černá země. (Povídka.) Z angličtiny přeložil Lubomír Dorůžka, verše Stanislav Mareš. Ilustroval Vladimír Fuka. 7/1, str. 83-95. - Stručná charakteristika autora.	English	1962	1
